project,forked,watchers,stars,forks,subscribers
mbosecke/pebble-benchmark,FALSE,0,0,1,1
gianm/druid,TRUE,0,0,0,1
kawasima/copyfile-benchmark,FALSE,0,0,0,1
pisfly/Chronicle-Queue,TRUE,0,0,0,1
rslemos/pet-grammars,FALSE,0,0,0,1
Tammie47/inspectIT,TRUE,0,0,0,1
gorcz/Hystrix,TRUE,0,0,0,1
gensym/jmh-lein-example,FALSE,0,0,0,1
jhalliday/hibernate-ogm,TRUE,0,0,0,1
nurkiewicz/RxJava,TRUE,0,0,0,1
mcculls/cglib,TRUE,0,0,0,1
DLotts/incubator-rya,TRUE,0,0,0,1
person-lee/nlp,FALSE,0,0,0,1
marcust/stagemonitor,TRUE,0,0,0,1
andreytim/jafar,FALSE,0,0,1,1
mpwaller/diet-yoink,FALSE,0,0,0,1
ambro2/jabref,TRUE,0,0,0,1
fbaro/jpack,FALSE,0,0,0,1
awood/crl-stream,FALSE,0,0,0,1
tbrooks8/netty,TRUE,0,0,0,1
nikarh/equals-builder,FALSE,0,0,0,1
windie/netty,TRUE,0,0,0,1
shitikanth/jabref,TRUE,0,0,0,1
asimihsan/jmh-gradle-anagrams,FALSE,0,0,0,1
areese/JavaTheCostOfDoingNothing,FALSE,0,0,1,1
zsxwing/RxJava,TRUE,0,0,0,1
reboss/Hystrix,TRUE,0,0,0,1
dcapwell/collections,FALSE,0,0,0,1
jbripley/RxJava,TRUE,0,0,0,1
kojiyokota/jabref,TRUE,0,0,0,1
fpavageau/bench-for-name,FALSE,0,0,1,1
electrum/slice,TRUE,0,0,0,1
mangeshpardeshiyahoo/druid,TRUE,0,0,0,1
dryuf/dryuf-concurrent,FALSE,0,0,1,1
lotusws/btrace,TRUE,0,0,0,1
victor-cr/template-text-parser,FALSE,0,0,0,1
ryankennedy/dropwizard,TRUE,0,0,0,1
chriswins2much/golo-lang,TRUE,0,0,0,1
conchlee/grpc-java,TRUE,0,0,0,1
volodin-aa/openjdk-benchmark,FALSE,0,0,0,1
udoprog/scribe,FALSE,0,0,0,1
voidException/java-8-lambdas-exercises,TRUE,0,0,0,1
tkao1000/pinot,TRUE,0,0,0,1
renoth/texxxxas,FALSE,0,0,0,1
tsdl2013/SimpleFlatMapper,TRUE,0,0,0,1
jf367/presto,TRUE,0,0,0,1
orangelynx/Trident,TRUE,0,0,0,1
IRus/Instanceof-vs-Try-Catch,FALSE,0,0,0,1
panchenko/pgjdbc,TRUE,0,0,0,1
buchgr/grpc-java,TRUE,0,0,0,1
dyu/protostuff,TRUE,0,0,0,1
