project;bugtype;count;version
caffeine;JMH_STATE_FINAL_FIELD;146;5d17c6a7ce623deb78b185efde598c8b9158aa5d
caffeine;JMH_LOOP_INSIDE_BENCHMARK;10;5d17c6a7ce623deb78b185efde598c8b9158aa5d
caffeine;JMH_IGNORED_METHOD_RETURN;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
h2o-3;JMH_BENCHMARK_METHOD_FOUND;18;5d17c6a7ce623deb78b185efde598c8b9158aa5d
h2o-3;JMH_LOOP_INSIDE_BENCHMARK;13;5d17c6a7ce623deb78b185efde598c8b9158aa5d
h2o-3;JMH_STATE_FINAL_FIELD;72;5d17c6a7ce623deb78b185efde598c8b9158aa5d
h2o-3;JMH_FIXTURE_USING_INVOCATION_SCOPE;10;5d17c6a7ce623deb78b185efde598c8b9158aa5d
gs-collections;JMH_BENCHMARK_METHOD_FOUND;451;5d17c6a7ce623deb78b185efde598c8b9158aa5d
gs-collections;JMH_STATE_FINAL_FIELD;520;5d17c6a7ce623deb78b185efde598c8b9158aa5d
gs-collections;JMH_IGNORED_METHOD_RETURN;41;5d17c6a7ce623deb78b185efde598c8b9158aa5d
gs-collections;JMH_LOOP_INSIDE_BENCHMARK;114;5d17c6a7ce623deb78b185efde598c8b9158aa5d
byte-buddy;JMH_BENCHMARK_METHOD_FOUND;39;5d17c6a7ce623deb78b185efde598c8b9158aa5d
byte-buddy;JMH_STATE_FINAL_FIELD;42;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pinot;JMH_BENCHMARK_METHOD_FOUND;31;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pinot;JMH_LOOP_INSIDE_BENCHMARK;31;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pinot;JMH_STATE_FINAL_FIELD;82;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pinot;JMH_IGNORED_METHOD_RETURN;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
JCTools;JMH_BENCHMARK_METHOD_FOUND;92;5d17c6a7ce623deb78b185efde598c8b9158aa5d
JCTools;JMH_STATE_FINAL_FIELD;367;5d17c6a7ce623deb78b185efde598c8b9158aa5d
JCTools;JMH_LOOP_INSIDE_BENCHMARK;41;5d17c6a7ce623deb78b185efde598c8b9158aa5d
JCTools;JMH_IGNORED_METHOD_RETURN;8;5d17c6a7ce623deb78b185efde598c8b9158aa5d
JCTools;JMH_FIXTURE_USING_INVOCATION_SCOPE;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
apollo;JMH_BENCHMARK_METHOD_FOUND;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
apollo;JMH_IGNORED_METHOD_RETURN;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
apollo;JMH_LOOP_INSIDE_BENCHMARK;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
apollo;JMH_STATE_FINAL_FIELD;12;5d17c6a7ce623deb78b185efde598c8b9158aa5d
stagemonitor;JMH_BENCHMARK_METHOD_FOUND;6;5d17c6a7ce623deb78b185efde598c8b9158aa5d
stagemonitor;JMH_LOOP_INSIDE_BENCHMARK;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
stagemonitor;JMH_STATE_FINAL_FIELD;14;5d17c6a7ce623deb78b185efde598c8b9158aa5d
stagemonitor;JMH_IGNORED_METHOD_RETURN;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
java;JMH_BENCHMARK_METHOD_FOUND;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
java;JMH_LOOP_INSIDE_BENCHMARK;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
java;JMH_STATE_FINAL_FIELD;6;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pushy;JMH_BENCHMARKMODE_SINGLESHOT;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pushy;JMH_BENCHMARK_METHOD_FOUND;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pushy;JMH_IGNORED_METHOD_RETURN;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pushy;JMH_LOOP_INSIDE_BENCHMARK;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
pushy;JMH_STATE_FINAL_FIELD;24;5d17c6a7ce623deb78b185efde598c8b9158aa5d
RoaringBitmap;JMH_STATE_FINAL_FIELD;436;5d17c6a7ce623deb78b185efde598c8b9158aa5d
RoaringBitmap;JMH_BENCHMARK_METHOD_FOUND;255;5d17c6a7ce623deb78b185efde598c8b9158aa5d
RoaringBitmap;JMH_IGNORED_METHOD_RETURN;32;5d17c6a7ce623deb78b185efde598c8b9158aa5d
